source_id,title,url,source_type,confidence,used_for
src_f1_official_1980_drivers,Formula1.com 1980 Drivers Standings,https://www.formula1.com/en/results/1980/drivers,official_result_archive,high,driver-team season affiliation cross-check
src_rsc_brazil_1980_entry_list,Racing Sports Cars - GP Brazil 1980 Entry List,https://www.racingsportscars.com/f1/entry/Interlagos-1980-01-27-14227.html,entry_list_archive,medium_high,early-season entrant/sponsor/team/driver/chassis/engine cross-check
src_rsc_great_britain_1980_entry_list,Racing Sports Cars - GP Great Britain 1980 Entry List,https://www.racingsportscars.com/f1/entry/Brands_Hatch-1980-07-13f.html,entry_list_archive,medium_high,mid-season entrant/sponsor/team/driver/chassis/engine cross-check
src_grandprix_sponsorship_history,GrandPrix.com - History of sponsorship in Formula 1,https://www.grandprix.com/sponsors/history-of-sponsorship-in-formula-1.html,secondary_sponsor_reference,medium,sponsor naming/correction hints
src_williams_patrick_head_profile,Williams Racing - Sir Patrick Head profile,https://www.williamsf1.com/persons/sir-patrick-head-v2,team_official_profile,high,Williams technical leadership context
src_williams_1980_championship_article,Williams Racing - 1980 first championship article,https://www.williamsf1.com/articles/848e195b-1f22-437f-8b1b-8b097251db3e/on-this-day-in-1980-our-first-championship-winning-season-concludes,team_official_history,high,Williams 1980 drivers/design team/source-lock
src_motorsport_williams_dec1980,Motor Sport Magazine - The Frank Williams team: 1980 Formula 1 world champions,https://www.motorsportmagazine.com/archive/article/december-1980/70/the-frank-williams-team/,period_magazine_archive,high,Williams 1980 staff/sponsor/factory context
src_classic_team_lotus_composite_1981,Classic Team Lotus - first composite chassis F1 car,https://classicteamlotus.co.uk/en/news/posts/2014/the-first-composite-chassis-f1-car-to-take-to-the-track/,team_history_archive,medium_high,Lotus 1980 engineering group context
src_motorsport_peter_wright_1983,Motor Sport Magazine - Peter Wright April 1983,https://www.motorsportmagazine.com/archive/article/april-1983/36/peter-wright/,period_magazine_archive,high,Lotus Chapman/Wright/Ogilvie relationship context
src_motorsport_mclaren_takeover,Motorsport.com - When Ron Dennis took over McLaren,https://www.motorsport.com/f1/news/ron-dennis-took-control-mclaren-1002875/1390462/,historical_feature,medium_high,late-1980 McLaren/Project Four hidden reference context
src_motorsport_barnard_revolution,Motor Sport Magazine - McLaren’s F1 revolution by John Barnard,https://www.motorsportmagazine.com/archive/article/july-2024/118/mclarens-f1-revolution-by-john-barnard/,retrospective_interview,medium_high,John Barnard / Ron Dennis relationship and 1980 transition context
src_franceracing_renault_1980_staff,France Racing - Renault F1 early 1980s history,https://franceracing.fr/f1/histoire-il-y-a-35-ans-la-gloire-de-renault-elf/,secondary_history,medium,Renault Larrousse/Sage/Dudot/Tetu staff context
src_rsc_ats_sponsor_appearance,Racing Sports Cars - ATS 1980 car appearance/sponsors,https://www.racingsportscars.com/f1/entry/appearance/Brands_Hatch-1980-07-13f.html,car_appearance_archive,medium_high,ATS sponsor correction ATS/Arawak/Buler
src_oldracingcars_osella_fa1,OldRacingCars.com - Osella FA1 car-by-car histories,https://www.oldracingcars.com/osella/fa1/,car_history_archive,medium_high,Osella Denim/MS and Giorgio Stirano technical context
src_grandprix_shadow_constructor,GrandPrix.com - Shadow Cars Inc. constructor profile,https://grandprix.com/constructors/shadow-cars-inc.html,constructor_history,medium_high,Shadow/Villiger/DN11/Owen/Morris source-lock context
src_classic_team_lotus_type81,Classic Team Lotus - Team Lotus Type 81 register,https://classicteamlotus.co.uk/en/about/team-lotus-register-2/type-81/,team_register,medium_high,Lotus 81 Essex sponsorship and 1981 JPS change
src_rsc_lotus81_appearance,Racing Sports Cars - Lotus 81 sponsor appearance archive,https://www.racingsportscars.com/type/archive/Lotus/81.html,car_appearance_archive,medium_high,"Lotus 1980 Essex/Tissot, JPS suppression candidate"
